Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Fast Multiclass Vehicle Detection on Aerial Images","Our method can detect vehicles in aerial images within seconds, providing orientation and type information for traffic management and urban planning.","Kang Liu, G. Máttyus",2015,321,"Detecting vehicles in aerial images provides important information for traffic management and urban planning. Detecting the cars in the images is challenging due to the relatively small size of the target objects and the complex background in man-made areas. It is particularly challenging if the goal is near-real-time detection, i.e., within few seconds, on large images without any additional information, e.g., road database and accurate target size. We present a method that can detect the vehicles on a 21-MPixel original frame image without accurate scale information within seconds on a laptop single threaded. In addition to the bounding box of the vehicles, we extract also orientation and type (car/truck) information. First, we apply a fast binary detector using integral channel features in a soft-cascade structure. In the next step, we apply a multiclass classifier on the output of the binary detector, which gives the orientation and type of the vehicles. We evaluate our method on a challenging data set of original aerial images over Munich and a data set captured from an unmanned aerial vehicle (UAV).","","IEEE Geoscience and Remote Sensing Letters","1","10.1109/lgrs.2015.2439517","https://consensus.app/papers/fast-multiclass-vehicle-detection-on-aerial-images-liu-mttyus/6dbce1784cbc5b22beff33089c6041b3/"
"FCOSR: A Simple Anchor-free Rotated Detector for Aerial Object Detection","FCOSR is a high-performance, simple, and easy-to-deploy one-stage anchor-free rotated object detector for aerial image detection, achieving high mean average precision on various datasets.","Zhong-hai Li, B. Hou, Zitong Wu, L. Jiao, Bo Ren, Chen Yang",2021,80,"Although existing anchor-based oriented object detection methods have achieved remarkable results, they require manual preset boxes, which introduce additional hyper-parameters and calculations. These methods often use more complex architectures for better performance, which makes them difficult to deploy on computationally constrained embedded platforms, such as satellites and unmanned aerial vehicles. We aim to design a high-performance algorithm that is simple, fast, and easy to deploy for aerial image detection. In this article, we propose a one-stage anchor-free rotated object detector, FCOSR, that can be deployed on most platforms and uses our well-defined label assignment strategy for the features of the aerial image objects. We use the ellipse center sampling method to define a suitable sampling region for an oriented bounding box (OBB). The fuzzy sample assignment strategy provides reasonable labels for overlapping objects. To solve the problem of insufficient sampling, we designed a multi-level sampling module. These strategies allocate more appropriate labels to training samples. Our algorithm achieves an mean average precision (mAP) of 79.25, 75.41, and 90.13 on the DOTA-v1.0, DOTA-v1.5, and HRSC2016 datasets, respectively. FCOSR demonstrates a performance superior to that of other methods in single-scale evaluation, where the small model achieves an mAP of 74.05 at a speed of 23.7 FPS on an RTX 2080-Ti GPU. When we convert the lightweight FCOSR model to the TensorRT format, it achieves an mAP of 73.93 on DOTA-v1.0 at a speed of 17.76 FPS on a Jetson AGX Xavier device with a single scale.","","ArXiv","1","10.3390/rs15235499","https://consensus.app/papers/fcosr-a-simple-anchorfree-rotated-detector-for-aerial-li-hou/79d690f403bd586e9b1055d94d547395/"
"Oriented Vehicle Detection in Aerial Images Based on YOLOv4","The YOLOv4 architecture-based oriented object detector significantly improves detection speed and accuracy in aerial images, outperforming other methods by more than 25%.","Tai-Hung Lin, Chih-Wen Su",2022,7,"CNN-based object detectors have achieved great success in recent years. The available detectors adopted horizontal bounding boxes to locate various objects. However, in some unique scenarios, objects such as buildings and vehicles in aerial images may be densely arranged and have apparent orientations. Therefore, some approaches extend the horizontal bounding box to the oriented bounding box to better extract objects, usually carried out by directly regressing the angle or corners. However, this suffers from the discontinuous boundary problem caused by angular periodicity or corner order. In this paper, we propose a simple but efficient oriented object detector based on YOLOv4 architecture. We regress the offset of an object's front point instead of its angle or corners to avoid the above mentioned problems. In addition, we introduce the intersection over union (IoU) correction factor to make the training process more stable. The experimental results on two public datasets, DOTA and HRSC2016, demonstrate that the proposed method significantly outperforms other methods in terms of detection speed while maintaining high accuracy. In DOTA, our proposed method achieved the highest mAP for the classes with prominent front-side appearances, such as small vehicles, large vehicles, and ships. The highly efficient architecture of YOLOv4 increases more than 25% detection speed compared to the other approaches.","","Sensors (Basel, Switzerland)","1","10.3390/s22218394","https://consensus.app/papers/oriented-vehicle-detection-in-aerial-images-based-on-lin-su/5c0b8983bfb65f35878e26aba07c87c9/"
"Learning Point-Guided Localization for Detection in Remote Sensing Images","The Object-wise Point-guided Localization Detector (OPLD) improves object detection in remote sensing images by transforming regression to keypoint estimation, achieving state-of-the-art performance on DOTA and HRSC2016 datasets.","Q. Song, Fan Yang, Lu Yang, Chun Liu, Mengjie Hu, Lurui Xia",2021,51,"Object detection in remote sensing images is challenging due to the dense distribution and arbitrary angle of the objects. It is a consensus that the oriented bounding box (OBB) is more suitable to represent the aerial objects. However, there are some extreme cases in regression-based OBB detection that make the regression target discontinuous, resulting in the poor performance. In this article, an analysis of the formats of OBB and the problems in its regression is presented, following with an exploration of transform localization from regression to keypoint estimation, which could be applied to avoid the problem of discontinuous regression target. Our novel method is called Object-wise Point-guided Localization Detector (OPLD). Continuously, a new prediction of center-point is introduced to refine the results, as the truncation problem caused by the cut graph. Lastly, in order to figure the problem of inconsistency between the localization quality and the classification score, both the endpoint scores and the classification score are adopted weighting as a result score. Experimental results are based on two widely used datasets, i.e., DOTA and HRSC2016. OPLD achieve 76.43% mAP and 78.35% mAP in OBB and horizontal bounding boxes tasks of DOTA-v1.0, which achieves state-of-the-art performance, respectively. Project page at https://github.com/yf19970118/OPLD-Pytorch.","","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","1","10.1109/jstars.2020.3036685","https://consensus.app/papers/learning-pointguided-localization-for-detection-in-song-yang/54eb23e64ede5564bcec60abbbc512e7/"
"Towards Accurate Oriented Object Detection in Aerial Images with Adaptive Multi-level Feature Fusion","The AFF-Det two-stage network-based detector with adaptive feature fusion achieves highly accurate oriented object detection in aerial images, outperforming recent state-of-the-art methods on DOTA and HRSC2016 datasets.","Peining Zhen, Shuqi Wang, Suming Zhang, Xiaotao Yan, Wei Wang, Zhigang Ji, Hai-Bao Chen",2022,31,"Detecting objects in aerial images is a long-standing and challenging problem since the objects in aerial images vary dramatically in size and orientation. Most existing neural network based methods are not robust enough to provide accurate oriented object detection results in aerial images since they do not consider the correlations between different levels and scales of features. In this paper, we propose a novel two-stage network-based detector with adaptive feature fusion towards highly accurate oriented object detection in aerial images, named AFF-Det. First, a multi-scale feature fusion module (MSFF) is built on the top layer of the extracted feature pyramids to mitigate the semantic information loss in the small-scale features. We also propose a cascaded oriented bounding box regression method to transform the horizontal proposals into oriented ones. Then the transformed proposals are assigned to all feature pyramid network (FPN) levels and aggregated by the weighted RoI feature aggregation (WRFA) module. The above modules can adaptively enhance the feature representations in different stages of the network based on the attention mechanism. Finally, a rotated decoupled-RCNN head is introduced to obtain the classification and localization results. Extensive experiments are conducted on the DOTA and HRSC2016 datasets to demonstrate the advantages of our proposed AFF-Det. The best detection results can achieve 80.73% mAP and 90.48% mAP, respectively, on these two datasets, outperforming recent state-of-the-art methods.","","ACM Transactions on Multimedia Computing, Communications and Applications","1","10.1145/3513133","https://consensus.app/papers/towards-accurate-oriented-object-detection-in-aerial-zhen-wang/8a31a4256257565e806cf3a029cc7e4f/"
"Multi-Scale Feature Integrated Attention-Based Rotation Network for Object Detection in VHR Aerial Images","The Multi-scale Feature Integration Attention Rotation Network (MFIAR-Net) effectively detects multi-class objects in very high resolution aerial images, improving object detection accuracy and robustness.","Feng Yang, Wentong Li, Haiwei Hu, Wanyi Li, Peng Wang",2020,40,"Accurate and robust detection of multi-class objects in very high resolution (VHR) aerial images has been playing a significant role in many real-world applications. The traditional detection methods have made remarkable progresses with horizontal bounding boxes (HBBs) due to CNNs. However, HBB detection methods still exhibit limitations including the missed detection and the redundant detection regions, especially for densely-distributed and strip-like objects. Besides, large scale variations and diverse background also bring in many challenges. Aiming to address these problems, an effective region-based object detection framework named Multi-scale Feature Integration Attention Rotation Network (MFIAR-Net) is proposed for aerial images with oriented bounding boxes (OBBs), which promotes the integration of the inherent multi-scale pyramid features to generate a discriminative feature map. Meanwhile, the double-path feature attention network supervised by the mask information of ground truth is introduced to guide the network to focus on object regions and suppress the irrelevant noise. To boost the rotation regression and classification performance, we present a robust Rotation Detection Network, which can generate efficient OBB representation. Extensive experiments and comprehensive evaluations on two publicly available datasets demonstrate the effectiveness of the proposed framework.","","Sensors (Basel, Switzerland)","1","10.3390/s20061686","https://consensus.app/papers/multiscale-feature-integrated-attentionbased-rotation-yang-li/8057442ec82b57a6a1d2bac96dc958a7/"
"Oriented Bounding Boxes for Small and Freely Rotated Objects","The proposed convolutional neural network-based approach accurately detects freely rotated objects of arbitrary sizes and improves performance over existing methods.","Mohsen Zand, Ali Etemad, M. Greenspan",2021,71,"A novel object detection method is presented that handles freely rotated objects of arbitrary sizes, including tiny objects as small as $2 \times 2$ pixels. Such tiny objects appear frequently in remotely sensed images, and present a challenge to recent object detection algorithms. More importantly, current object detection methods have been designed originally to accommodate axis-aligned bounding box detection, and therefore fail to accurately localize oriented boxes that best describe freely rotated objects. In contrast, the proposed convolutional neural network (CNN) -based approach uses potential pixel information at multiple scale levels without the need for any external resources, such as anchor boxes. The method encodes the precise location and orientation of features of the target objects at grid cell locations. Unlike existing methods that regress the bounding box location and dimension, the proposed method learns all the required information by classification, which has the added benefit of enabling oriented bounding box detection without any extra computation. It thus infers the bounding boxes only at inference time by finding the minimum surrounding box for every set of the same predicted class labels. Moreover, a rotation-invariant feature representation is applied to each scale, which imposes a regularization constraint to enforce covering the 360° range of in-plane rotation of the training samples to share similar features. Evaluations on the xView and dataset for object detection in aerial images (DOTA) data sets show that the proposed method uniformly improves performance over existing state-of-the-art methods.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2021.3076050","https://consensus.app/papers/oriented-bounding-boxes-for-small-and-freely-rotated-zand-etemad/a0fb24a995735e319376496bbe4d6d30/"
"Bounding Box Projection for Regression Uncertainty in Oriented Object Detection","ProjBB, a projection-based method, effectively detects oriented objects in aerial images without periodicity, aspect ratio sensitivity, or regression uncertainty.","Qian Wu, Wang Xiang, Rui Tang, Jun Zhu",2021,13,"Oriented object detection has recently attracted increasing attention for its importance in aerial image processing. Popular detection methods for oriented and densely packed objects usually utilize the rotation angle to reduce the overlap of bounding boxes over the horizontal line. However, those angle-based methods remain challenging due to the angular periodicity and regression inconsistent, which are uniformly summarized as regression uncertainty. Previous methods usually heal the regression uncertainty problem by adding complex limits on the loss function. In this paper, instead of expressing accurate oriented information by the rotation angle, we propose a novel projection-based method that employs six-parameter to describe rotated bounding box: two points position on the projected line(one center point and one chosen vertex), a projection ratio and a quadrant label, named as ProjBB. ProjBB is angle-free and has three main advantages: i) More accurate angle distance without periodicity; ii) Projection ratio which is aspect ratio sensitive; iii) Theoretical uniqueness guarantee. Extensive experiments on two large-scale public aerial image datasets(i.e. DOTA and HRSC2016) and the scene text dataset ICDAR2015 show the competitive results of our proposed approach.","","IEEE Access","1","10.1109/access.2021.3072402","https://consensus.app/papers/bounding-box-projection-for-regression-uncertainty-in-wu-xiang/7e9dce4e60885f89a311cdb0af9d7072/"
"Capturing the true bounding boxes: vehicle kinematic data extraction using unmanned aerial vehicles","This paper presents a method for extracting kinematic variables of road vehicles from unmanned aerial vehicle footage, providing smoother data and more information for traffic prediction and connected automated vehicle control.","Tian Mi, D. Takács, Henry X. Liu, Gábor Orosz",2024,12,"Abstract This paper presents a methodology by which kinematic variables of road vehicles can be extracted from unmanned aerial vehicle (UAV) footage. The oriented bounding boxes of the vehicles are identified based on the aerial view of the intersection, and the kinematic variables, such as position, longitudinal velocity, lateral velocity, yaw angle and yaw rate, are determined. The bounding boxes are converted to the perspective of a roadside camera using homography, to generate labeled data sets for training the machine learning-based perception systems of smart intersections. Compared to ordinary GPS data-based technology, the proposed method provides smoother data and more information about the dynamics of the vehicles. In the meantime, it does not require any additional instrumentation on the vehicles. The extracted kinematic variables can be used for motion prediction of road traffic participants and for control of connected automated vehicles (CAVs) in intelligent transportation systems.","","Journal of Intelligent Transportation Systems","1","10.1080/15472450.2024.2341395","https://consensus.app/papers/capturing-the-true-bounding-boxes-vehicle-kinematic-data-mi-takcs/ffb43d1b39b454ef81e5f3584ea0b6d4/"
"Accurate road user localization in aerial images captured by unmanned aerial vehicles","This paper presents a deep-learning-based method for accurate road user localization in aerial images, improving the credibility of unmanned aerial vehicles in traffic applications.","Linjun Lu, Fei Dai",2024,18,"","","Automation in Construction","1","10.1016/j.autcon.2023.105257","https://consensus.app/papers/accurate-road-user-localization-in-aerial-images-captured-lu-dai/1139b9095b5351adaedff61f2a432ac2/"
